Grapheme	IPA	Languages
^visnet$	v ɪ s n ɛ t	Dutch
^vissengif$	v ɪ s ə x ɪ f	Dutch
^visser$	v ɪ s ə r	Dutch
^vlak$	v l ɑ k	Dutch
^vlakte$	v l ɑ k t ə	Dutch
^vlam$	v l ɑ m	Dutch
^vlecht$	v l ɛ x t	Dutch
^vlechten$	v l ɛ x t ə	Dutch
^vleermuis$	v l eː r m œy s	Dutch
^vlees$	v l eː s	Dutch
^vleugel$	v l øː ɣ ə l	Dutch
^vlieg$	v l iː x	Dutch
^vliegen$	v l iː ɣ ə	Dutch
^vliegtuig$	v l iː x t œy x	Dutch
^vlinder$	v l ɪ n d ə r	Dutch
^vlo$	v l oː	Dutch
^vloed$	v l uː t	Dutch
^vloer$	v l uː r	Dutch
^vlot$	v l ɔ t	Dutch
^vluchten$	v l ʏ x t ə	Dutch
^voedsel$	v uː t s ə l	Dutch
^voelen$	v uː l ə	Dutch
^voet$	v uː t	Dutch
^voetafdruk$	v uː t ɑ v d r ʏ k	Dutch
^vogel$	v oː ɣ ə l	Dutch
^vol$	v ɔ l	Dutch
^volgen$	v ɔ l ɣ ə	Dutch
^volgende$	v ɔ l ɣ ə n d ə	Dutch
^vonnis$	v ɔ n ə s	Dutch
^voor$	v oː r	Dutch
^voorhoofd$	v oː r h oː f t	Dutch
^voorjaar$	v oː r j aː r	Dutch
^voorouders$	v oː r ɑu d ə r s	Dutch
^voorteken$	v oː r t eː k ə	Dutch
^vore$	v oː r ə	Dutch
^vork$	v ɔ r k	Dutch
^vos$	v ɔ s	Dutch
^vouwen$	v ɑu ʋ ə	Dutch
^vragen$	v r aː ɣ ə	Dutch
^vrede$	v r eː d ə	Dutch
^vreemde$	v r eː m d ə	Dutch
^vreemdeling$	v r eː m d ə l ɪ ŋ	Dutch
^vriend$	v r iː n t	Dutch
^vrijdag$	v r ɛi d ɑ x	Dutch
^vrije$	v r ɛi j ə	Dutch
^vrijspreken$	v r ɛi s p r eː k ə	Dutch
^vroeg$	v r uː x	Dutch
^vrouw (1)$	v r ɑu ʋ	Dutch
^vrouw (2)$	v r ɑu ʋ	Dutch
^vrouwelijk$	v r ɑu ʋ ə l ə k	Dutch
^vrouwtjes-$	v r ɑu ʋ t j ə s	Dutch
^vuil$	v œy l	Dutch
^vulva$	v ʏ l v aː	Dutch
^vuur$	v yː r	Dutch
^waaier$	ʋ aː j ə r	Dutch
^waar (1)$	ʋ aː r	Dutch
^waar (2)$	ʋ aː r	Dutch
^waarom$	ʋ aː r ɔ m	Dutch
^wagen$	ʋ aː ɣ ə	Dutch
^walvis$	ʋ ɑ l v ɪ s	Dutch
^wandelstok$	ʋ ɑ n d ə l s t ɔ k	Dutch
^wang$	ʋ ɑ ŋ	Dutch
^wanneer$	ʋ ɑ n eː r	Dutch
^wapens$	ʋ aː p ə n s	Dutch
^warm$	ʋ ɑ r m	Dutch
^wasbeer$	ʋ ɑ z b eː r	Dutch
^wassen$	ʋ ɑ s ə	Dutch
^wat$	ʋ ɑ t	Dutch
^water$	ʋ aː t ə r	Dutch
^water putten$	ʋ aː t ə r # p ʏ t ə	Dutch
^waterval$	ʋ aː t ə r v ɑ l	Dutch
^wc$	ʋ eɪ s eɪ	Dutch
^web$	ʋ ɛ p	Dutch
^weduwe$	ʋ eː d yː ʋ ə	Dutch
^weduwnaar$	ʋ eː d yː ʋ n aː r	Dutch
^weefgetouw$	ʋ eː f x ə t ɑu ʋ	Dutch
^week$	ʋ eː k	Dutch
^weer (1)$	ʋ eː r	Dutch
^weer (2)$	ʋ eː r	Dutch
^weerhouden$	ʋ eː r h ɑu d ə	Dutch
^wees$	ʋ eː s	Dutch
^weg$	ʋ ɛ x	Dutch
^wegen$	ʋ eː ɣ ə	Dutch
^weggaan$	ʋ ɛ ɣ aː n	Dutch
^weide$	ʋ ɛi d ə	Dutch
^weigeren$	ʋ ɛi ɣ ə r ə	Dutch
^weinig$	ʋ ɛi n ə x	Dutch
^wekken$	ʋ ɛ k ə	Dutch
^welke$	ʋ ɛ l k ə	Dutch
^welriekend$	ʋ ɛ l r iː k ə n t	Dutch
^wenen$	ʋ eː n ə	Dutch
^wenkbrauw$	ʋ ɛ ŋ ɡ b r ɑu ʋ	Dutch
^wensen$	ʋ ɛ n s ə	Dutch
^wereld$	ʋ eː r ə l t	Dutch
^werk$	ʋ ɛ r k	Dutch
^werkplaats$	ʋ ɛ r k p l aː t s	Dutch
^werktuig$	ʋ ɛ r k t œy x	Dutch
^werpen$	ʋ ɛ r p ə	Dutch
^wesp$	ʋ ɛ s p	Dutch
^westen$	ʋ ɛ s t ə	Dutch
^wet$	ʋ ɛ t	Dutch
^weten$	ʋ eː t ə	Dutch
^weven$	ʋ eː v ə	Dutch
^wie$	ʋ iː	Dutch
^wiel$	ʋ iː l	Dutch
^wij$	ʋ ɛi	Dutch
^wijd$	ʋ ɛi t	Dutch
^wijn$	ʋ ɛi n	Dutch
^wijs (1)$	ʋ ɛi s	Dutch
^wijs (2)$	ʋ ɛi s	Dutch
^wikkelen$	ʋ ɪ k ə l ə	Dutch
^wild zwijn$	ʋ ɪ l t # z ʋ ɛi n	Dutch
^wind$	ʋ ɪ n t	Dutch
^wingerd$	ʋ ɪ ŋ ə r t	Dutch
^winkel$	ʋ ɪ ŋ k ə l	Dutch
^winter$	ʋ ɪ n t ə r	Dutch
^wit$	ʋ ɪ t	Dutch
^woede$	ʋ uː d ə	Dutch
^woensdag$	ʋ uː n z d ɑ x	Dutch
^wol$	ʋ ɔ l	Dutch
^wolf$	ʋ ɔ l f	Dutch
^wolk$	ʋ ɔ l k	Dutch
^wond$	ʋ ɔ n t	Dutch
^wonen$	ʋ oː n ə	Dutch
^woord$	ʋ oː r t	Dutch
^worden$	ʋ ɔ r d ə	Dutch
^worm$	ʋ ɔ r m	Dutch
^worst$	ʋ ɔ r s t	Dutch
^wortel$	ʋ ɔ r t ə l	Dutch
^woud$	ʋ ɑu t	Dutch
^wrijven$	ʋ r ɛi v ə	Dutch
^yam$	j ɑ m	Dutch
^zaad$	z aː t	Dutch
^zaag$	z aː x	Dutch
^zaaien$	z aː j ə	Dutch
^zacht$	z ɑ x t	Dutch
^zak$	z ɑ k	Dutch
^zakdoek$	z ɑ ɡ d uː k	Dutch
^zalf$	z ɑ l f	Dutch
^zand$	z ɑ n t	Dutch
^zaterdag$	z aː t ə r d ɑ x	Dutch
^zee$	z eː	Dutch
^zeep$	z eː p	Dutch
^zegenen$	z eː ɣ ə n ə	Dutch
^zeggen$	z ɛ ɣ ə	Dutch
^zeil$	z ɛi l	Dutch
^zeilen$	z ɛi l ə	Dutch
^zeis$	z ɛi s	Dutch
^zeker$	z eː k ə r	Dutch
^zenden$	z ɛ n d ə	Dutch
^zenuw$	z eː n yː ʋ	Dutch
^zes$	z ɛ s	Dutch
^zeug$	z øː x	Dutch
^zeven (1)$	z eː v ə	Dutch
^zeven (2)$	z eː v ə	Dutch
^zich haasten$	z ɪ x # h aː s t ə	Dutch
^zich herinneren$	z ɪ x # h ɛ r ɪ n ə r ə	Dutch
^zich omdraaien$	z ɪ x # ɔ m d r aː j ə	Dutch
^zich overgeven$	z ɪ x # oː v ə r ɣ eː v ə	Dutch
^zich terugtrekken$	z ɪ x # t ə r ʏ x t r ɛ k ə	Dutch
^ziek$	z iː k	Dutch
^ziekenhuis$	z iː k ə h œy s	Dutch
^ziekte$	z iː k t ə	Dutch
^ziel$	z iː l	Dutch
^zien$	z iː n	Dutch
^zij (1)$	z ɛi	Dutch
^zij (2)$	z ɛi	Dutch
^zijde$	z ɛi d ə	Dutch
^zijn$	z ɛi n	Dutch
^zilver$	z ɪ l v ə r	Dutch
^zingen$	z ɪ ŋ ə	Dutch
^zinken$	z ɪ ŋ k ə	Dutch
^zitten$	z ɪ t ə	Dutch
^zoeken$	z uː k ə	Dutch
^zoet$	z uː t	Dutch
^zoete aardappel$	z uː t ə # aː r d ɑ p ə l	Dutch
^zomer$	z oː m ə r	Dutch
^zon$	z ɔ n	Dutch
^zondag$	z ɔ n d ɑ x	Dutch
^zonder$	z ɔ n d ə r	Dutch
^zoon$	z oː n	Dutch
^zorg$	z ɔ r x	Dutch
^zout (1)$	z ɑu t	Dutch
^zout (2)$	z ɑu t	Dutch
^zuiden$	z œy d ə	Dutch
^zuigen$	z œy ɣ ə	Dutch
^zus(ter)$	z ʏ s	Dutch
^zuur$	z yː r	Dutch
^zwaar$	z ʋ aː r	Dutch
^zwaard$	z ʋ aː r t	Dutch
^zwager$	z ʋ aː ɣ ə r	Dutch
^zwak$	z ʋ ɑ k	Dutch
^zwanger$	z ʋ ɑ ŋ ə r	Dutch
^zwanger worden$	z ʋ ɑ ŋ ə r # ʋ ɔ r d ə	Dutch
^zwart$	z ʋ ɑ r t	Dutch
^zwelling$	z ʋ ɛ l ɪ ŋ	Dutch
^zwemmen$	z ʋ ɛ m ə	Dutch
^zweren$	z ʋ eː r ə	Dutch
^zweten$	z ʋ eː t ə	Dutch
^zwijgen$	z ʋ ɛi ɣ ə	Dutch
